Zone,Zone_Name,County,Latitude,Longitude
AZ025,Yuma/Martinez Lake and Vicinity,Yuma,32.6473,-114.5311
AZ026,Southwest Deserts,Yuma,32.8183,-113.8579
AZ027,Southwest Maricopa County,Maricopa,32.9116,-112.7825
AZ028,Northwest and North Central Pinal County,Pinal,33.0595,-111.703
AZ036,Lake Mead National Recreation Area,Mohave,35.8011,-114.3194
AZ037,Yavapai County Valleys and Basins,Yavapai,34.4302,-112.5126
AZ038,Oak Creek and Sycamore Canyons,Yavapai,34.9117,-111.8796
AZ039,Black Mesa Area,Navajo,36.355,-110.243
AZ040,Northeast Plateaus and Mesas South of Hwy 264,Navajo,35.4889,-110.1825
AZ501,Western Pima County Including Ajo/Organ Pipe Cactus National Monument,Pima,32.2167,-112.9766
AZ502,Tohono O'odham Nation including Sells,Pima,32.1434,-112.064
AZ503,Upper Santa Cruz River and Altar Valleys including Nogales,Santa Cruz,31.6207,-111.163
AZ504,Tucson Metro Area including Tucson/Green Valley/Marana/Vail,Pima,32.1761,-111.0565
AZ505,South Central Pinal County including Eloy/Picacho Peak State Park,Pinal,32.7452,-111.3393
AZ506,Southeast Pinal County including Kearny/Mammoth/Oracle,Pinal,32.8255,-110.7518
AZ507,Upper San Pedro River Valley including Sierra Vista/Benson,Santa Cruz,31.9331,-110.3073
AZ508,Eastern Cochise County Below 5000 Feet including Douglas/Willcox,Cochise,31.9147,-109.5452
AZ509,Upper Gila River and Aravaipa Valleys including Clifton/Safford,Greenlee,32.8686,-109.7443
AZ510,White Mountains of Graham and Greenlee Counties including Hannagan Meadow,Greenlee,33.3867,-109.4881
AZ511,Galiuro and Pinaleno Mountains including Mount Graham,Graham,32.6525,-110.1153
AZ512,Chiricahua Mountains including Chiricahua National Monument,Cochise,31.8616,-109.356
AZ513,Dragoon/Mule/Huachuca and Santa Rita Mountains including Bisbee/Canelo Hills/Madera Canyon,Santa Cruz,31.6043,-110.3833
AZ514,Santa Catalina and Rincon Mountains including Mount Lemmon/Summerhaven,Pima,32.3364,-110.6808
AZ515,Baboquivari Mountains including Kitt Peak,Pima,31.8186,-111.5931
CA001,Redwood Coast,Humboldt,41.0243,-124.0956
CA002,Mendocino Coast,Mendocino,39.2518,-123.582
CA003,North Coast Interior,Trinity,40.7799,-123.7672
CA004,Upper Trinity River,Trinity,40.7088,-123.111
CA006,San Francisco,San Francisco,37.7558,-122.4423
CA013,Shasta Lake Area / Northern Shasta County,Shasta,40.9299,-122.2247
CA014,Burney Basin / Eastern Shasta County,Shasta,40.9423,-121.4882
